Date,Days_After_Sowing,NDVI_Interpolated,NDVI_Lower_CI,NDVI_Upper_CI,FVC_Interpolated,FVC_Lower_CI,FVC_Upper_CI,Ground_Cover_Percentage,Ground_Cover_Lower_CI,Ground_Cover_Upper_CI,Growth_Stage,Sowing_Date,Harvest_Date,temperature_2m,temperature_min,temperature_max,precipitation,humidity,pressure,wind_speed,cloud_cover,gdd_daily,gdd_cumulative
2024-06-01,242,0.7396491056237251,0.7048491056237252,0.774449105623725,0.8423558651767502,0.7926415794624645,0.8920701508910358,84.23558651767502,79.26415794624646,89.20701508910358,Maturity,2023-10-03,2024-07-30,13.0,11.7,14.9,29.1,94,1011.8,18.1,100,13.3,1884.8500000000001
2024-06-02,243,0.7332780139668315,0.6984780139668314,0.7680780139668315,0.8332543056669021,0.7835400199526164,0.8829685913811879,83.3254305666902,78.35400199526164,88.29685913811879,Maturity,2023-10-03,2024-07-30,15.5,13.0,19.4,9.5,87,1017.1,8.5,100,16.2,1901.0500000000002
2024-06-03,244,0.7222730457460625,0.6874730457460625,0.7570730457460626,0.817532922494375,0.7678186367800893,0.8672472082086609,81.75329224943751,76.78186367800893,86.72472082086608,Maturity,2023-10-03,2024-07-30,14.2,11.5,16.6,1.7,83,1017.6,11.0,97,14.05,1915.1000000000001
2024-06-04,245,0.7081993277033344,0.6733993277033343,0.7429993277033344,0.7974276110047634,0.7477133252904776,0.8471418967190492,79.74276110047634,74.77133252904777,84.71418967190492,Maturity,2023-10-03,2024-07-30,15.2,8.9,19.6,0.0,72,1015.0,6.2,48,14.25,1929.3500000000001
2024-06-05,246,0.6948349872699874,0.6600349872699873,0.7296349872699874,0.778335696099982,0.7286214103856962,0.8280499818142678,77.8335696099982,72.86214103856962,82.80499818142678,Maturity,2023-10-03,2024-07-30,16.0,11.7,20.0,0.6,76,1013.7,10.9,60,15.85,1945.2
2024-06-06,247,0.6842005793434416,0.6494005793434416,0.7190005793434415,0.7631436847763451,0.7134293990620595,0.8128579704906308,76.3143684776345,71.34293990620594,81.28579704906308,Maturity,2023-10-03,2024-07-30,17.0,12.2,21.8,0.9,74,1016.6,8.3,48,17.0,1962.2
2024-06-07,248,0.675194996736183,0.640394996736183,0.7099949967361829,0.7502785667659757,0.7005642810516901,0.7999928524802613,75.02785667659757,70.056428105169,79.99928524802613,Maturity,2023-10-03,2024-07-30,17.0,12.4,22.1,0.5,67,1017.7,8.3,53,17.25,1979.45
2024-06-08,249,0.6652973524225962,0.6304973524225963,0.7000973524225962,0.7361390748894232,0.6864247891751376,0.7858533606037088,73.61390748894232,68.64247891751376,78.58533606037088,Maturity,2023-10-03,2024-07-30,17.8,11.7,24.8,0.3,70,1012.9,10.9,48,18.25,1997.7
2024-06-09,250,0.6524436663569079,0.6176436663569078,0.6872436663569079,0.7177766662241541,0.6680623805098683,0.7674909519384399,71.77766662241541,66.80623805098683,76.74909519384398,Harvest,2023-10-03,2024-07-30,17.4,12.0,21.5,0.0,69,1008.7,7.3,73,16.75,2014.45
2024-06-10,251,0.6384211858866241,0.6036211858866241,0.6732211858866242,0.6977445512666058,0.6480302655523201,0.7474588369808917,69.77445512666058,64.80302655523201,74.74588369808916,Unknown,2023-10-03,2024-07-30,15.8,12.4,19.3,0.0,60,1007.4,12.9,62,15.850000000000001,2030.3
2024-06-11,252,0.630400836538911,0.5956008365389109,0.665200836538911,0.6862869093413014,0.6365726236270156,0.7360011950555873,68.62869093413015,63.65726236270156,73.60011950555872,Unknown,2023-10-03,2024-07-30,11.8,8.5,14.9,0.1,62,1014.9,11.8,84,11.7,2042.0
2024-06-12,253,0.6330178873828611,0.5982178873828612,0.6678178873828611,0.6900255534040873,0.6403112676898017,0.7397398391183729,69.00255534040873,64.03112676898017,73.9739839118373,Unknown,2023-10-03,2024-07-30,12.8,7.2,17.2,0.3,61,1017.8,5.8,54,12.2,2054.2
2024-06-13,254,0.6414092113690171,0.6066092113690171,0.676209211369017,0.7020131590985959,0.6522988733843103,0.7517274448128815,70.20131590985959,65.22988733843103,75.17274448128815,Unknown,2023-10-03,2024-07-30,13.3,9.3,17.2,1.3,63,1018.0,7.3,60,13.25,2067.45
2024-06-14,255,0.6482477980078745,0.6134477980078745,0.6830477980078744,0.7117825685826779,0.6620682828683921,0.7614968542969635,71.17825685826779,66.20682828683921,76.14968542969635,Unknown,2023-10-03,2024-07-30,14.2,10.7,19.4,2.7,75,1013.4,11.1,84,15.049999999999999,2082.5
2024-06-15,256,0.6515408113703162,0.6167408113703161,0.6863408113703162,0.716486873386166,0.6667725876718802,0.7662011591004517,71.6486873386166,66.67725876718802,76.62011591004517,Unknown,2023-10-03,2024-07-30,15.4,12.0,18.7,8.4,73,1009.7,14.4,78,15.35,2097.85
2024-06-16,257,0.6526793836421032,0.6178793836421033,0.6874793836421031,0.7181134052030046,0.668399119488719,0.7678276909172902,71.81134052030046,66.8399119488719,76.78276909172902,Unknown,2023-10-03,2024-07-30,15.7,10.0,20.9,0.2,67,1011.6,10.5,47,15.45,2113.2999999999997
2024-06-17,258,0.6528208883046952,0.6180208883046951,0.6876208883046953,0.7183155547209932,0.6686012690067074,0.768029840435279,71.83155547209932,66.86012690067074,76.8029840435279,Unknown,2023-10-03,2024-07-30,17.2,13.2,21.6,2.2,77,1014.6,10.8,79,17.4,2130.7
2024-06-18,259,0.6523475627798851,0.6175475627798852,0.6871475627798851,0.7176393753998359,0.6679250896855503,0.7673536611141216,71.76393753998359,66.79250896855503,76.73536611141216,Unknown,2023-10-03,2024-07-30,20.5,12.8,27.3,0.0,70,1014.4,8.5,81,20.05,2150.75
2024-06-19,260,0.651353021855628,0.6165530218556281,0.686153021855628,0.7162186026508972,0.6665043169366116,0.7659328883651828,71.62186026508972,66.65043169366116,76.59328883651828,Unknown,2023-10-03,2024-07-30,20.0,16.2,25.0,5.4,79,1015.0,10.0,65,20.6,2171.35
